Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
0.10300	0.61236	9.8594	0.10000	4.5304	0.44612	0.10000	4.5757	0.53171	0.10100	6.2637	0.71573
0.10900	1.0786	16.288	0.10200	3.4681	0.34150	0.10200	3.5184	0.40883	0.10400	6.6619	0.76123
0.11400	0.95743	13.500	0.10500	4.2030	0.41386	0.10500	4.2276	0.49124	0.10800	7.1931	0.82193
0.12000	1.2051	15.788	0.10700	4.2089	0.41444	0.10700	4.2314	0.49169	0.11100	7.2850	0.83243
0.12600	1.4854	17.974	0.11000	4.3750	0.43081	0.11000	4.3483	0.50527	0.11500	6.7812	0.77486
0.13200	1.5015	16.668	0.11200	4.8616	0.47872	0.11200	3.9615	0.46032	0.11900	5.6983	0.65112
0.13800	1.8341	18.526	0.11500	4.7964	0.47231	0.11500	4.7927	0.55692	0.12200	6.4282	0.73452
0.14500	2.2166	20.173	0.11800	5.6894	0.56024	0.11800	5.2428	0.60922	0.12600	7.5927	0.86759
0.15100	2.2606	18.313	0.12100	6.4449	0.63464	0.12100	5.9611	0.69269	0.13000	8.2749	0.94555
0.15800	2.6479	18.802	0.12400	6.7402	0.66371	0.12400	6.2530	0.72661	0.13400	8.6608	0.98964
0.16400	2.7973	17.066	0.12700	7.5145	0.73996	0.12700	7.5489	0.87719	0.13800	8.8738	1.0140
0.17200	3.1913	16.280	0.13000	7.7781	0.76592	0.13000	7.8622	0.91360	0.14200	9.0850	1.0381
0.17900	3.7813	15.509	0.13300	8.1795	0.80545	0.13300	7.7176	0.89680	0.14500	8.9723	1.0252
0.18600	4.9534	15.366	0.13600	8.3346	0.82072	0.13600	8.2350	0.95693	0.14900	9.5380	1.0899
0.19300	6.1443	12.921	0.14000	9.1196	0.89803	0.14000	9.0471	1.0513	0.15300	9.5614	1.0926
0.20100	8.9214	9.8640	0.14300	9.1413	0.90016	0.14300	9.0430	1.0508	0.15800	10.284	1.1751
0.20900	16.398	2.4528	0.14700	9.3036	0.91615	0.14700	9.4015	1.0925	0.16200	10.951	1.2514
0.21700	14.489	2.1613	0.15000	9.8157	0.96658	0.15000	9.3856	1.0906	0.16600	10.988	1.2556
0.22400	14.331	2.1321	0.15400	10.336	1.0178	0.15400	10.453	1.2147	0.17000	11.543	1.3190
0.23300	14.593	2.1691	0.15700	11.068	1.0899	0.15700	10.655	1.2381	0.17400	10.385	1.1866
0.24100	12.397	1.8385	0.16100	11.503	1.1327	0.16100	11.924	1.3856	0.17900	10.297	1.1766
0.25000	10.229	1.5154	0.16400	11.526	1.1350	0.16400	12.048	1.4000	0.18300	9.0009	1.0285
0.25800	8.8219	1.3064	0.16800	11.378	1.1204	0.16800	12.109	1.4071	0.18700	9.5433	1.0905
0.26700	8.8900	1.3154	0.17100	11.493	1.1317	0.17100	11.492	1.3355	0.19200	9.9525	1.1373
0.27600	8.4972	1.2554	0.17500	10.316	1.0159	0.17500	10.567	1.2279	0.19600	9.1987	1.0511
0.28500	9.4235	1.3916	0.17900	10.106	0.99523	0.17900	10.061	1.1692	0.20000	10.520	1.2021
0.29400	7.8383	1.1562	0.18300	9.8309	0.96809	0.18300	10.100	1.1737	0.20500	10.978	1.2545
0.30400	8.7514	1.2906	0.18700	10.486	1.0326	0.18700	10.272	1.1937	0.21000	10.180	1.1633
0.31300	8.7291	1.2872	0.19100	10.683	1.0520	0.19100	11.028	1.2815	0.21400	10.274	1.1740
0.32300	11.105	1.6360	0.19500	10.865	1.0700	0.19500	11.229	1.3049	0.21900	10.143	1.1591
0.33200	10.997	1.6197	0.19900	10.915	1.0749	0.19900	11.241	1.3063	0.22300	9.8078	1.1207
0.34300	10.336	1.5220	0.20300	10.938	1.0771	0.20300	10.673	1.2402	0.22800	8.7446	0.99924
0.35300	9.6274	1.4181	0.20800	10.675	1.0513	0.20800	10.872	1.2634	0.23300	8.6855	0.99249
0.36300	9.6226	1.4165	0.21200	10.447	1.0288	0.21200	10.639	1.2363	0.23800	8.8789	1.0146
0.37300	17.854	2.6277	0.21700	10.348	1.0190	0.21700	10.496	1.2197	0.24300	9.9961	1.1422
0.38400	14.746	2.1696	0.22100	9.9860	0.98340	0.22100	8.9358	1.0384	0.24700	10.770	1.2307
0.39500	9.3205	1.3717	0.22600	8.7476	0.86145	0.22600	7.6786	0.89231	0.25200	9.7148	1.1101
0.40600	9.4769	1.3947	0.23000	8.6326	0.85012	0.23000	8.5146	0.98947	0.25700	9.4584	1.0808
0.41700	9.7396	1.4329	0.23500	10.070	0.99166	0.23500	8.8848	1.0325	0.26200	8.5319	0.97493
0.42800	9.7581	1.4353	0.23900	10.300	1.0143	0.23900	10.199	1.1852	0.26700	7.9107	0.90395
0.43900	9.1491	1.3458	0.24400	11.222	1.1051	0.24400	10.654	1.2381	0.27200	7.5077	0.85790
0.45100	8.9830	1.3213	0.24900	10.006	0.98536	0.24900	10.340	1.2016	0.27700	7.5057	0.85767
0.46200	8.4052	1.2362	0.25400	8.9422	0.88064	0.25400	7.4604	0.86698	0.28200	7.6748	0.87699
0.47400	9.5278	1.4013	0.25900	7.4832	0.73695	0.25900	6.5337	0.75928	0.28800	8.0607	0.92110
0.48600	8.8638	1.3038	0.26400	6.6608	0.65596	0.26400	6.2722	0.72890	0.29300	7.7163	0.88174
0.49900	9.9672	1.4660	0.26900	6.5849	0.64849	0.26900	6.1921	0.71958	0.29800	8.6730	0.99106
0.51100	8.6132	1.2667	0.27400	6.6045	0.65042	0.27400	6.2306	0.72406	0.30300	7.9938	0.91345
0.52400	8.2452	1.2126	0.27900	6.9712	0.68655	0.27900	6.6691	0.77503	0.30900	7.9578	0.90934
0.53600	7.1809	1.0561	0.28500	7.8511	0.77321	0.28500	7.1849	0.83498	0.31400	6.6894	0.76440
0.54900	7.2502	1.0663	0.29000	7.9247	0.78046	0.29000	8.1081	0.94227	0.31900	7.6972	0.87956
0.56100	9.0243	1.3273	0.29600	8.0563	0.79342	0.29600	8.2650	0.96051	0.32500	8.2796	0.94612
0.57400	10.393	1.9200	0.30100	7.8689	0.77497	0.30100	7.2962	0.84792	0.33000	9.0069	1.0292
0.58700	8.8295	1.6312	0.30700	7.1447	0.70365	0.30700	7.1409	0.82988	0.33600	10.059	1.1494
0.60100	8.2893	1.5314	0.31200	7.0771	0.69699	0.31200	7.0448	0.81871	0.34100	10.307	1.1777
0.61400	8.3955	1.5511	0.31800	7.8942	0.77747	0.31800	7.3358	0.85253	0.34700	10.664	1.2186
0.62800	7.5855	1.4014	0.32300	8.2275	0.81030	0.32300	8.5165	0.98975	0.35300	10.695	1.2222
0.64200	7.5507	1.3950	0.32900	9.4317	0.92892	0.32900	9.8526	1.1450	0.35800	10.690	1.2216
0.65600	6.4843	1.1980	0.33500	9.9369	0.97868	0.33500	10.392	1.2078	0.36400	10.962	1.2526
0.67000	6.7958	1.2556	0.34100	10.046	0.98943	0.34100	10.420	1.2110	0.37000	11.057	1.2635
0.68400	6.6830	1.2347	0.34700	10.090	0.99375	0.34700	10.548	1.2259	0.37600	10.683	1.2207
0.69800	7.3458	1.3572	0.35300	10.345	1.0189	0.35300	10.783	1.2531	0.38100	10.269	1.1734
0.71300	7.0471	1.3020	0.35900	11.078	1.0911	0.35900	11.142	1.2950	0.38700	9.4216	1.0766
0.72800	5.9992	1.1084	0.36600	10.357	1.0201	0.36600	11.348	1.3189	0.39300	9.1943	1.0507
0.74300	5.5616	1.0276	0.37200	10.241	1.0087	0.37200	10.691	1.2425	0.39900	8.8648	1.0130
