E_MeV,eff_percent,eff_unc_percent,totalEvents,eventsAllDet,file
0.1,20.077,0.14169333082400173,100000,20077,./output_mono_n_100keV_Tetra_summary.txt
0.5,20.055999999999997,0.14161920773680384,100000,20056,./output_mono_n_500keV_Tetra_summary.txt
1.0,19.088,0.13815932831336433,100000,19088,./output_mono_n_1_Tetra_summary.txt
2.0,17.413999999999998,0.13196211577570283,100000,17414,./output_mono_n_2_Tetra_summary.txt
3.0,15.584000000000001,0.12483589227461787,100000,15584,./output_mono_n_3_Tetra_summary.txt
4.0,14.603,0.12084287318663024,100000,14603,./output_mono_n_4_Tetra_summary.txt
5.0,12.892999999999999,0.11354734695271396,100000,12893,./output_mono_n_5_Tetra_summary.txt
6.0,12.177,0.11034944494649714,100000,12177,./output_mono_n_6_Tetra_summary.txt
7.0,10.997,0.10486658190291129,100000,10997,./output_mono_n_7_Tetra_summary.txt
8.0,10.387,0.1019166325974323,100000,10387,./output_mono_n_8_Tetra_summary.txt
9.0,9.117,0.09548298277703729,100000,9117,./output_mono_n_9_Tetra_summary.txt
10.0,8.363,0.09144943958275524,100000,8363,./output_mono_n_10_Tetra_summary.txt
11.0,8.426,0.09179324593890337,100000,8426,./output_mono_n_11_Tetra_summary.txt
12.0,7.871,0.08871865643707642,100000,7859,./output_mono_n_12_Tetra_summary.txt
13.0,7.497,0.08658521813797088,100000,7469,./output_mono_n_13_Tetra_summary.txt
14.0,7.3870000000000005,0.08594765849050223,100000,7337,./output_mono_n_14_Tetra_summary.txt
