TAG;rc
PARIS278_E5.5keV;0
PARIS278_E14.0557keV;0
PARIS278_E20.7971keV;0
PARIS278_E28.7733keV;0
PARIS278_E37.9377keV;0
PARIS278_E48.25keV;0
PARIS278_E59.675keV;0
PARIS278_E72.1819keV;0
PARIS278_E85.7435keV;0
PARIS278_E100.335keV;0
PARIS278_E115.935keV;0
PARIS278_E132.523keV;0
PARIS278_E150.08keV;0
PARIS278_E168.59keV;0
PARIS278_E188.037keV;0
PARIS278_E208.407keV;0
PARIS278_E229.686keV;0
PARIS278_E251.862keV;0
PARIS278_E274.923keV;0
PARIS278_E298.858keV;0
PARIS278_E323.656keV;0
PARIS278_E349.307keV;0
PARIS278_E375.802keV;0
PARIS278_E403.132keV;0
PARIS278_E431.289keV;0
PARIS278_E460.264keV;0
PARIS278_E490.049keV;0
PARIS278_E520.638keV;0
PARIS278_E552.023keV;0
PARIS278_E584.197keV;0
PARIS278_E617.155keV;0
PARIS278_E650.888keV;0
PARIS278_E685.392keV;0
PARIS278_E720.661keV;0
PARIS278_E756.688keV;0
PARIS278_E793.469keV;0
PARIS278_E830.998keV;0
PARIS278_E869.271keV;0
PARIS278_E908.281keV;0
PARIS278_E948.025keV;0
PARIS278_E988.498keV;0
PARIS278_E1029.69keV;0
PARIS278_E1071.61keV;0
PARIS278_E1114.24keV;0
PARIS278_E1157.59keV;0
PARIS278_E1201.64keV;0
PARIS278_E1246.4keV;0
PARIS278_E1291.85keV;0
PARIS278_E1338keV;0
PARIS278_E1384.84keV;0
PARIS278_E1432.38keV;0
PARIS278_E1480.6keV;0
PARIS278_E1529.5keV;0
PARIS278_E1579.07keV;0
PARIS278_E1629.33keV;0
PARIS278_E1680.25keV;0
PARIS278_E1731.85keV;0
PARIS278_E1784.11keV;0
PARIS278_E1837.04keV;0
PARIS278_E1890.62keV;0
PARIS278_E1944.87keV;0
PARIS278_E1999.77keV;0
PARIS278_E2055.32keV;0
PARIS278_E2111.52keV;0
PARIS278_E2168.37keV;0
PARIS278_E2225.86keV;0
PARIS278_E2283.99keV;0
PARIS278_E2342.76keV;0
PARIS278_E2402.17keV;0
PARIS278_E2462.22keV;0
PARIS278_E2522.89keV;0
PARIS278_E2584.2keV;0
PARIS278_E2646.13keV;0
PARIS278_E2708.69keV;0
PARIS278_E2771.88keV;0
PARIS278_E2835.68keV;0
PARIS278_E2900.1keV;0
PARIS278_E2965.14keV;0
PARIS278_E3030.8keV;0
PARIS278_E3097.06keV;0
PARIS278_E3163.94keV;0
PARIS278_E3231.43keV;0
PARIS278_E3299.52keV;0
PARIS278_E3368.22keV;0
PARIS278_E3437.52keV;0
PARIS278_E3507.43keV;0
PARIS278_E3577.93keV;0
PARIS278_E3649.03keV;0
PARIS278_E3720.73keV;0
PARIS278_E3793.02keV;0
PARIS278_E3865.9keV;0
PARIS278_E3939.38keV;143
PARIS278_E4013.44keV;0
PARIS278_E4088.1keV;0
PARIS278_E4163.33keV;0
PARIS278_E4239.15keV;0
PARIS278_E4315.56keV;0
PARIS278_E4392.54keV;0
PARIS278_E4470.11keV;0
PARIS278_E4548.25keV;0
PARIS278_E4626.97keV;0
PARIS278_E4706.27keV;0
PARIS278_E4786.14keV;0
PARIS278_E4866.58keV;0
PARIS278_E4947.59keV;0
PARIS278_E5029.17keV;0
PARIS278_E5111.32keV;0
PARIS278_E5194.04keV;0
PARIS278_E5277.32keV;0
PARIS278_E5361.16keV;0
PARIS278_E5445.57keV;0
PARIS278_E5530.54keV;0
PARIS278_E5616.07keV;0
PARIS278_E5702.16keV;0
PARIS278_E5788.8keV;0
PARIS278_E5876keV;0
PARIS278_E5963.76keV;0
PARIS278_E6052.07keV;0
PARIS278_E6140.93keV;0
PARIS278_E6230.34keV;0
PARIS278_E6320.31keV;0
PARIS278_E6410.82keV;0
PARIS278_E6501.88keV;0
PARIS278_E6593.48keV;0
PARIS278_E6685.64keV;0
PARIS278_E6778.33keV;0
PARIS278_E6871.57keV;0
PARIS278_E6965.35keV;0
PARIS278_E7059.67keV;0
PARIS278_E7154.53keV;0
PARIS278_E7249.93keV;0
PARIS278_E7345.87keV;0
PARIS278_E7442.34keV;0
PARIS278_E7539.35keV;0
PARIS278_E7636.9keV;0
PARIS278_E7734.97keV;0
PARIS278_E7833.58keV;0
PARIS278_E7932.72keV;0
PARIS278_E8032.4keV;0
PARIS278_E8132.6keV;0
PARIS278_E8233.32keV;0
PARIS278_E8334.58keV;0
PARIS278_E8436.36keV;0
PARIS278_E8538.67keV;143
PARIS278_E8641.51keV;0
PARIS278_E8744.86keV;0
PARIS278_E8848.74keV;0
PARIS278_E8953.14keV;0
PARIS278_E9058.06keV;0
PARIS278_E9163.5keV;0
PARIS278_E9269.46keV;0
PARIS278_E9375.94keV;0
PARIS278_E9482.94keV;0
PARIS278_E9590.45keV;0
PARIS278_E9698.48keV;0
PARIS278_E9807.02keV;0
PARIS278_E9916.07keV;0
PARIS278_E10025.6keV;0
PARIS278_E10135.7keV;0
PARIS278_E10246.3keV;0
PARIS278_E10357.4keV;0
PARIS278_E10469keV;0
PARIS278_E10581.1keV;0
PARIS278_E10693.8keV;0
PARIS278_E10806.9keV;0
PARIS278_E10920.5keV;0
PARIS278_E11034.7keV;0
PARIS278_E11149.3keV;0
PARIS278_E11264.5keV;0
PARIS278_E11380.2keV;0
PARIS278_E11496.3keV;0
PARIS278_E11613keV;0
PARIS278_E11730.1keV;0
PARIS278_E11847.8keV;0
PARIS278_E11966keV;0
PARIS278_E12084.6keV;0
PARIS278_E12203.8keV;0
PARIS278_E12323.4keV;0
PARIS278_E12443.6keV;0
PARIS278_E12564.2keV;0
PARIS278_E12685.4keV;0
PARIS278_E12807keV;0
PARIS278_E12929.1keV;0
PARIS278_E13051.8keV;0
PARIS278_E13174.9keV;0
PARIS278_E13298.5keV;0
PARIS278_E13422.6keV;0
PARIS278_E13547.2keV;0
PARIS278_E13672.2keV;0
PARIS278_E13797.8keV;0
PARIS278_E13923.9keV;0
PARIS278_E14050.4keV;0
PARIS278_E14177.4keV;0
PARIS278_E14304.9keV;0
PARIS278_E14432.9keV;0
PARIS278_E14561.4keV;0
PARIS278_E14690.4keV;0
PARIS278_E14819.8keV;0
PARIS278_E14949.8keV;0
